素材名称,素材内容,素材类型,素材ID,消耗,展示数,平均千次展现费用(元),点击数,点击率%,平均点击单价(元),转化数,平均转化成本,转化率%,深度转化数,深度转化成本,深度转化率%
0709引导-小敏-1-1.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnLfa5x86dbwL8HzPDcip9%2F2L9y33GOqLjpvvziT4sL8myM%2FbaRK2Obf4J9bW7DqHCtVWB5mAriolo2LvmI852o%2BBbJDsn1c%2FkdQjmwOVCD%2FRCoYeNDMDSsZKfsWAATqg1dHMFtBdGwOKvmm8ZaMzbafL2caSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA%2BhTK4Y%3D,竖版视频,7.66E+18,376.95,"30,952",12.18,"1,021",3.30%,0.37,18,20.94,1.76%,0,0,0.00%
0713-引导-小敏-5.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnI3YGrzLDif95hDnx%2B5IbAQ%2FP4Sqp6VZZGqzcFQYW2XN4G5Om1vcb7suUYjKhiNWKF1Y2OMD%2FKqajpyxvZw%2FVR4hXJgBN0aSEBlqT0vEMBtEnU%2FFx5SRGhdiLh6hdSDPOqiU2w7MSwCqdKaacvBXq4FZb8aSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBAx9y78g%3D,竖版视频,7.66E+18,265.03,"11,149",23.77,206,1.85%,1.29,13,20.39,6.31%,0,0,0.00%
0709引导-小敏-5-1.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnLCFS0EJZuiS%2FW4%2B7c9ydqDLkUBkXVd52Vimw2BbHgyiibZRYWKdWtEfjkKmMGoOfKY6lUSsIIfHJOF11bSBBpjJRgbucy%2F9tSPrEP9XRkKoU5IQN1nmNpVmAlsXhXDpt9UH9oV7t6QQjou8rBH8Bv83bsaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA8durdo%3D,竖版视频,7.66E+18,238.23,"8,487",28.07,190,2.24%,1.25,10,23.82,5.26%,0,0,0.00%
0713-浩正瑞晨引导-1.mp4.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnKqjWgVC1ENUvlocrSVJ3aVz8CejTXxlQR9ADhkN2VkPj6pd7qw9%2FljDV%2BG687wnA95GnHxiACjsUHxMssVw0grXIWjWxfN8mI%2BY1TTqJcldlpVN64XkeUsTjHepK1WNKQak9XyABeHT0hS6s%2Brjvq3Jk4aSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBAwBhRBU%3D,竖版视频,7.66E+18,205.16,"4,827",42.5,92,1.91%,2.23,12,17.1,13.04%,0,0,0.00%
0713-引导-雅迪-2-改.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnJ%2B6KAvX5rDCQP%2FJeYYamt3y6b1xs29%2FbQuQUM8k9YdzerpZ9aftr1omsdhLnUSCd4WsKfSGrWiR5eZrfmYSlcmUccHgsHtKHPvBBoh9KNB8UVSBlRw1ZmtvdTbrKLTSy6zvVofEFrOhGOW27vmjih2p10aSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA7pmR3k%3D,横版视频,7.66E+18,160.51,"4,571",35.11,50,1.09%,3.21,8,20.06,16.00%,0,0,0.00%
0709引导-小敏-3-1.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnJkYLOaE4qpX3EcA4qvWtB3U8kmbwXi0hQTiJFj6kc6CdqSdWeoJ9UJRnHf%2B10okpuI2RpidsxUx4wbuFGNPmtxUY4TMCyoHysaXWVvni4i4bbMOlxizI887vEawAOn%2FwLBXwcuEDB2HUWZ0Zf8iwb7NwgaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA4%2BQTCA%3D,竖版视频,7.66E+18,143.47,"6,383",22.48,148,2.32%,0.97,5,28.69,3.38%,0,0,0.00%
0708引导-小敏-1.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnKGz8Uq6dn4uUycyCKDrpMAcrvqSp4RM6ec3SqMVPhtZ%2B8ZqqttG4u6cvbePICJdbD6MeQSiTHLXRyaqm8oTZjBryN1iHFDfarH%2F8PGqlxeLx6zWVc563C3%2BmnRq4%2FdV7xK1L%2BQ20SovqVbKs2NiuktdWIaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA5ay16k%3D,竖版视频,7.66E+18,138.93,"7,380",18.83,191,2.59%,0.73,6,23.16,3.14%,0,0,0.00%
微信视频_20260711163647.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnIJi2PqdIe2vVvqYWbURpeoUg%2B%2B2tznxFr07I3eJneJxLlDeTBtaKxcnbMboRjmZVY3VvLf3hXrvgQRHuyeNU3EGAglg%2Fv5N6hOeimjQ%2FRU8lSfv7a5VSC0g6JfBoixqonIKKrlne2VByfeXl%2F4yGmm4X0aSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBAyjFIXQ%3D,横版视频,7.66E+18,126.66,"2,515",50.36,77,3.06%,1.64,9,14.07,11.69%,0,0,0.00%
-,AIGC动态创意素材暂不支持预览内容,竖版视频,7.66E+18,122.54,"2,929",41.84,49,1.67%,2.5,5,24.51,10.20%,0,0,0.00%
-,学习成绩差？高中学霸笔记，点击链接领取免费资料！,标题,7.66E+18,107.02,"5,331",20.08,126,2.36%,0.85,3,35.67,2.38%,0,0,0.00%
-,后悔才知道！高中学霸笔记竟然这么简单，原来是这样学的！点击领取电子版～,标题,7.66E+18,105.97,"4,000",26.49,119,2.98%,0.89,7,15.14,5.88%,0,0,0.00%
-,https://ad.oceanengine.com/material_center/outer/video_player?token=CnIXVJqwnzVfD3IOIQ0zcSi%2BTiEg5eKdPoEJtifvMxxkg2HPkJZfcRcjSv8OrHyCcYkJ0FMZ7yN2EcWRCiYiX9ZpA2Lb1S9%2F6UCbMXnmTCBRUTk5922fn6qEhkgSt3f1%2FVCARsngOVdh8R0akZyVv08dL40aSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA1x240I%3D,竖版视频,7.66E+18,89.93,"7,922",11.35,290,3.66%,0.31,6,14.99,2.07%,0,0,0.00%
-,学习成绩差？快来领取学霸笔记，教你学习方法！,标题,7.66E+18,83.24,"3,371",24.69,116,3.44%,0.72,3,27.75,2.59%,0,0,0.00%
0713-引导-嘉丽-8.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnLnhQGWFKBxicUUO2sZyidvo06FVTZZLgExZv88Tpq1ARUWJ0QW0RswOSD%2B3alL7xBPLsaE7TCOgDNRkhS4w%2FoCun5gm6WPsnsV1%2BgInOuWIIHcUq1t4dYUfxz9SjpC3ztH6tFcD0D2ucYXus7MmzmTnLwaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA%2FwWKqE%3D,横版视频,7.66E+18,75.09,"2,030",36.99,27,1.33%,2.78,3,25.03,11.11%,0,0,0.00%
0709引导+v-瑞晨-9.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnIvkDbK6P08vRpqxuJmziBPbFLUdfSQN49stQaAGs62CfeQkicg6MIacrALFxkWffEtiJs310lYe8Hj4GMux5b1kMTI1fYM6F428Ppw0sgLUMYXVEiitWpJyX3NeDNkzP2iC6NswjRp12G%2FMxWN0tO4YPEaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA%2FFo2EA%3D,竖版视频,7.66E+18,74.21,"4,466",16.62,153,3.43%,0.49,2,37.11,1.31%,0,0,0.00%
-,高中生成绩差注意了！这套学霸笔记帮你全面提升，点击领取最新学习资料。,标题,7.66E+18,68.83,"3,530",19.5,98,2.78%,0.7,6,11.47,6.12%,0,0,0.00%
-,高中生注意了！这套学霸笔记，点击领取最新学习资料。,标题,7.66E+18,63.47,"2,229",28.47,45,2.02%,1.41,1,63.47,2.22%,0,0,0.00%
0708-引导-嘉丽-5.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnIDTU3UBH%2F0PuqqLMVIgjo%2FYcLEGtWFy0s3txx5K93bG0RnMBIYtOyN8O9H%2FXabZwAyK71rSb%2B%2FrPfUXrUGx7DcE52MdC7VxYwU6et3%2FbOKo8Xd6I2Jn4SgAcjj91iznP9w8NUULzwq5LjrGzt8E8QD6F0aSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA2UdwcI%3D,竖版视频,7.66E+18,61.45,"1,476",41.63,19,1.29%,3.23,1,61.45,5.26%,0,0,0.00%
0709引导+v-瑞晨-6.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnKlWCORBIG0nvywwCIPBwuuaN%2Fx5P2xbRRzbh6IJUOLk%2F6fk2ZCaJuf52PT9rUznjo3qkXt%2B4rLwL%2F6%2F2an1yqo8O1QximHQMt7dca2cyYlTwf7YYtJZgWkTY6EyCuuYn4apc7FG4H6cezJWJ7hsdTKaWsaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA2r6w5g%3D,竖版视频,7.66E+18,59.66,"4,547",13.12,129,2.84%,0.46,2,29.83,1.55%,0,0,0.00%
-,AIGC动态创意素材暂不支持预览内容,竖版视频,7.66E+18,57.86,"3,390",17.07,83,2.45%,0.7,3,19.29,3.61%,0,0,0.00%
0713-浩正瑞晨引导-3.mp4.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnLU7HjAHEOCxhEI3AZIa4%2FjCuqv0STPgaMPckKll9y6IXdEoNkDcW73oa%2FJz6u3A98xAKj8rYeDsxJ%2FWbpXQ1Tcd6EPEYq0UX9DZ%2B5PuLL0ihL5t8%2BS3shTPftCdxoBzH%2FA3s2fkkWi%2F%2BnfAnOpTQlYG1saSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBAzpFXqg%3D,竖版视频,7.66E+18,57.8,"2,135",27.07,67,3.14%,0.86,0,0,0.00%,0,0,0.00%
0709引导+v-瑞晨-3.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnLch8A9r%2BW4Y633weAHegJxTxhuIIwPijD%2FlR%2B5D8h75MkjOjlyXyI2Yp4WmqTvbGLIMfPTPctsFMM4PE%2BjX4wxZyk55wnrcBBssjNg65OtAhbZon90Sv3D2cZdlo19eY7srEcn06LDnPqKMVm4%2F%2FNbmKEaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA6ZmONM%3D,竖版视频,7.66E+18,57.09,"3,478",16.41,113,3.25%,0.51,0,0,0.00%,0,0,0.00%
0716-引导-雅迪-1.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnLWYH0gKPbjiscAWd8oHqrWMN%2FKsrYhrlpkZ4T%2FPsKugI%2F7CGgz5aTjR7vxOckX%2BHNIGuTtY%2FgnbPvHmOkTzPeXhMB0jUEKgCP47nVwaMeiZNMJY%2BQSdXwyBkywXHl0kCHW6r0FGeLNZGR6QKCqg3XAJ%2BYaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA686H%2FM%3D,横版视频,7.66E+18,55.43,"3,279",16.9,164,5.00%,0.34,3,18.48,1.83%,0,0,0.00%
713-引导-小敏-1.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnKz8xeM5u0BZIBKrNgFI1bR%2B%2Fn2kqBcriBpwG8rmi20B0n2FrL6yOd0UzGFrjkwjjCbad6MSotb%2Bqs8FNvPNBgVDnHtYip4Uf4aWfyWM8GViJ3XmNbBY9SJ6Ku4V3OhWA2Q4AwqxQ03Zvqa1EswW2pK3awaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA40Yx5o%3D,竖版视频,7.66E+18,53.44,"2,440",21.9,161,6.60%,0.33,4,13.36,2.48%,0,0,0.00%
0713-浩正瑞晨引导-7.mp4.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnKuElKZfiQTMMUtq7b1wOav09qD%2FKQt1HdTmEmHaHqLEVageJmb%2FoOAGcyM72RtGzxYySSEri6W42FUqjH8pVH3blIAzWIuVuiJLDpZKy%2BWTTESn35ndhx1hxx9epI3NrntZEMQzOCJebsW46uN7ZAyH14aSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA1lg%2FTI%3D,竖版视频,7.66E+18,51.89,"1,888",27.48,37,1.96%,1.4,3,17.3,8.11%,0,0,0.00%
微信视频2026-07-11_163704_323.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnL24esHsOdW9KK4updxwsRwvBOFcDPzN3hKAqBVpDglKexkQQ23bETfYWRjPTtiRPG6kowfnAvafPZxEz3iNUUirbdkI%2BWgmrQrWaTfaJYN5kq%2F4fKcRzzQx4NgfDg6U5wo7xbmykEVZztc%2Bpf4tBkpvnMaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA%2FnMlKc%3D,横版视频,7.66E+18,47.66,838,56.87,22,2.63%,2.17,1,47.66,4.55%,0,0,0.00%
-,高中生如何提升成绩？《学霸笔记》点击链接领取！,标题,7.66E+18,46.06,"1,027",44.85,36,3.51%,1.28,2,23.03,5.56%,0,0,0.00%
-,AIGC动态创意素材暂不支持预览内容,竖版视频,7.66E+18,42.25,935,45.19,17,1.82%,2.49,1,42.25,5.88%,0,0,0.00%
0713-引导-嘉丽-10.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnISnfuID0VTMNdKLD1yfkRqosr1kLv6iAGg1bt3tYtrKTDLcDX%2BhkReceSWIUMhZm6YCZpajnMO%2FLSEk6njtluzM%2Bwb3ERniQYX5%2F7l5NBP02n8Blv26bSB0EZJslY1GJ4mbmMZlZ%2Bwo%2BP%2FM2NzLFkFhp4aSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA6SxQ2o%3D,竖版视频,7.66E+18,41.62,"1,814",22.94,140,7.72%,0.3,0,0,0.00%,0,0,0.00%
-,AIGC动态创意素材暂不支持预览内容,竖版视频,7.66E+18,36.07,"2,109",17.1,60,2.84%,0.6,4,9.02,6.67%,0,0,0.00%
0713-引导-小敏-2.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnLBWa1ZgAZbhyyZWFb45qYQT3XLXFbkJwUx141UKLMB2TNZkJRhQzk6MbF9pC8EHUC3OyHbT6H7I5LyYaLqqDrAXO8NSaB%2F3RsuENWgpEEHVg5eE%2FxUFDbss9fb8mL%2FtLkSIFWG%2F4ZCf23Si6u71azk5mUaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA3BOjPw%3D,竖版视频,7.66E+18,32.89,"1,476",22.28,58,3.93%,0.57,2,16.45,3.45%,0,0,0.00%
-,AIGC动态创意素材暂不支持预览内容,竖版视频,7.66E+18,31.16,"3,301",9.44,132,4.00%,0.24,2,15.58,1.52%,0,0,0.00%
0713-浩正瑞晨引导-8.mp4.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnL%2FTjHBiI9pLbtcbYR%2FKYYIYzsJ4Cxmw8dOElx6M0ftVenyJGV4tszVVP%2Bshp95SkYxtVQUpFCVELwNFHtpaBKC4zxzNSfv3vFbLRKll0jk3cOEhV104mcZgiIqf1yJRkUBqrd2j1GyuaOtyBiw%2F5M5CG8aSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBAygXwhY%3D,竖版视频,7.66E+18,29.52,858,34.41,31,3.61%,0.95,3,9.84,9.68%,0,0,0.00%
0713-引导-小敏-4.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnJKGUY1Gq4BLACl7qNfCXvh7BVS99dCvlOvC%2FSSZ25PRs58JChjDueocGxvLxRW0%2BYF90WXuVnhm9q8pJ9EEPs%2FqmqkS9K%2F0KY40LlhBRPotdNFpflagJPfhedRszYfGdUcPsIZhiDHnJFZ4zVim%2B%2BgPU4aSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBAzrKDE8%3D,竖版视频,7.66E+18,25.74,"1,126",22.86,48,4.26%,0.54,2,12.87,4.17%,0,0,0.00%
0710-引导-嘉丽-4.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnJm2BdB1kaup9Fz5nXZn%2B6hgLLXuP8UHvYl3LIQsnSNu8xZIRovU5kgKEZ%2BMcOOttWAwwevwCbdWSHvr1PBWpdIQKnLg2b0GzTk2xbbLrjBOvWmIMJzEhoK%2F%2F%2BYxg5HlA%2BKdFDiJPXwTXB8j1ZafVKRXScaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA%2FoxNCY%3D,竖版视频,7.66E+18,22.85,705,32.41,19,2.70%,1.2,0,0,0.00%,0,0,0.00%
0714-瑞浩引导修改-4.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnIEodchzytmAkW6jTFgd5c%2FjPEr%2BoRJmnTz1cPBGkzxSq3TtWZAHVTnFxwUzY2HnKWfxVb41rFjE9Zto18YS6K1vgEmf4yZNQhX6aXSUabQM%2BOKyr38rESSKg2ogODwdhQph%2FiGYjo%2FtxPk0IdDDMJjifQaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA3toIgs%3D,竖版视频,7.66E+18,21.47,753,28.51,26,3.45%,0.83,3,7.16,11.54%,0,0,0.00%
0716-引流瑞晨-1.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnKv0t5hI7XFpamwhF1tA808u06Rk409tlbsDNyF3uB3yAr9hTafbGIQGTwRrqlPEL%2Flt1dKofye8za8KYOolqMZgftWi2BrP2zYlSTxGvYv7KHf3%2F0GDWeYlfrcjYDgg6azNIBCeVbuo7GbsefW%2B1pNTGAaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA%2FWIWOw%3D,竖版视频,7.66E+18,20.68,683,30.28,20,2.93%,1.03,0,0,0.00%,0,0,0.00%
-,AIGC动态创意素材暂不支持预览内容,竖版视频,7.66E+18,19.47,507,38.4,19,3.75%,1.02,2,9.74,10.53%,0,0,0.00%
