编导,素材名称,素材内容,素材类型,素材ID,消耗,展示数,平均千次展现费用(元),点击数,点击率%,平均点击单价(元),转化数,平均转化成本,转化率%,深度转化数,深度转化成本,深度转化率%
小敏,0708引导-小敏-1.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnJcPWmHx1pnUt1q1WAIQK4QxA6eAXt9W4CY1oKHGDj4EmA7PLu1gcOg1jIX%2BZN6D6Eu9gm0hFxfm8lB80vGROVgu9rZ%2F0sUC5E2mG%2BAuZi9e6lc5ezymzFPFPkGqKGSNHWb2yq%2FTPa3PV7j4XAgHDLeztsaSwo8AAAAAAAAAAAAAFCqow%2BWYWPt9Yug8gUzSmbClCx8k2XrLSvi7O4n%2FOKm4%2FbEWeaDeQjwYxyAFS38F%2FdHENf7lg4Yvfeq7g4gASIBA6yX90w%3D,竖版视频,7660186913555644470,138.93,"7,380",18.83,191,2.59%,0.73,6,23.16,3.14%,0,0.00,0.00%
雅迪,0713-引导-雅迪-2-改.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnLN5dx19MuZDTpiyEkjC7%2FnrMK9gggzas2KXP43zRfxJcNGmJE2z6RTkmLpx7lD%2BgPWcUgXE%2F7YXPSACpHn%2Bwf4pb7W1Vk4FKlYvphEscZPCjUobl3aErha9%2BpcDXE3X%2F18A5B0IzY75kfNSGgCVup7pnQaSwo8AAAAAAAAAAAAAFCqow%2BWYWPt9Yug8gUzSmbClCx8k2XrLSvi7O4n%2FOKm4%2FbEWeaDeQjwYxyAFS38F%2FdHENf7lg4Yvfeq7g4gASIBAxErcRY%3D,横版视频,7662230321010311219,90.18,"2,505",36.00,26,1.04%,3.47,4,22.55,15.38%,0,0.00,0.00%
瑞晨,0709引导+v-瑞晨-9.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnIGnenC6UqFJ5lluJ8ZMirsQTI%2FkxSKx%2FZluRm8iSxU2ed5Rxin43um9hiyM522MBHOqum7yUBcw%2BqpkXrbWDZrBXIAJ799KSvtk8WQMjGj%2B%2BX9xTGVGDKaHG56viN9awXQcbClSdVO2mSjNwhd2%2F%2FNVBsaSwo8AAAAAAAAAAAAAFCqow%2BWYWPt9Yug8gUzSmbClCx8k2XrLSvi7O4n%2FOKm4%2FbEWeaDeQjwYxyAFS38F%2FdHENf7lg4Yvfeq7g4gASIBA7k7yJc%3D,竖版视频,7660452401267654692,74.21,"4,466",16.62,153,3.43%,0.49,2,37.11,1.31%,0,0.00,0.00%
嘉丽,0708-引导-嘉丽-5.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnJuHoQ2WUfGZJHcMMnEPZ3dmziY%2FtYgBLu2y6WVK%2BhEB4K6GBchUEvDAnW9kWM3FNkDpYsxkW7Ktmx32kGQtJtsPS%2FYxQnZ3MtqCa2S9G%2FZy%2BbP3vX3BPtFHXSfoAqUpzCfEafGtbp%2Bnq39UXsETYZHTBoaSwo8AAAAAAAAAAAAAFCqow%2BWYWPt9Yug8gUzSmbClCx8k2XrLSvi7O4n%2FOKm4%2FbEWeaDeQjwYxyAFS38F%2FdHENf7lg4Yvfeq7g4gASIBA6O7M8c%3D,竖版视频,7660371894164914182,61.45,"1,476",41.63,19,1.29%,3.23,1,61.45,5.26%,0,0.00,0.00%
瑞晨,0709引导+v-瑞晨-6.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnLTu2u5kUp8EE8n73txmAG%2FKJatozfLQDuq%2BJeS%2Bi5CFDbilSFesTqz4Mrh4fYyJcxWhHKlBjKSbRSOpwJCJDncV4Bom2tUI9YMBdCmSWJPWYPc4R1stEvYQKuu9Hsy4ekoMJN38sOAKTzVgtdUwjv4gScaSwo8AAAAAAAAAAAAAFCqow%2BWYWPt9Yug8gUzSmbClCx8k2XrLSvi7O4n%2FOKm4%2FbEWeaDeQjwYxyAFS38F%2FdHENf7lg4Yvfeq7g4gASIBA3q7Djo%3D,竖版视频,7660452419795189823,59.66,"4,547",13.12,129,2.84%,0.46,2,29.83,1.55%,0,0.00,0.00%
瑞晨,0709引导+v-瑞晨-3.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnJ%2BpYrUEUScwtPU%2FEwvwbaKz0xYb1MOMUPKynD7OIkFNhZJ20LAZQNfhqxs%2B0GuDBfE1gxMBJ9%2B4vDGDdOowoIxfbFhlBNVvOfmJzk%2FRKUf2haUaNJOA7SOoOKtW10EIXr5VTTxLXKI%2Fdv2UCbbFj0f9EgaSwo8AAAAAAAAAAAAAFCqow%2BWYWPt9Yug8gUzSmbClCx8k2XrLSvi7O4n%2FOKm4%2FbEWeaDeQjwYxyAFS38F%2FdHENf7lg4Yvfeq7g4gASIBAx5LOMU%3D,竖版视频,7660452400924835846,57.09,"3,478",16.41,113,3.25%,0.51,0,0.00,0.00%,0,0.00,0.00%
瑞晨浩正,0713-浩正瑞晨引导-3.mp4.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnK900WrKUonBRGe6n%2Bgshfa1yrE1pf4QPDwscR2%2BX3Ajf%2Fg2PYlW%2BXdfNFc2iYuPSvqdUMNk8on%2BvTe099fc%2F2IOwpOKlc2wmb0%2F9df6IU7aBWiMfZCBQHEUA6Q8nqBziWuGBpQJI5OqEgrZa3%2FX0LRExsaSwo8AAAAAAAAAAAAAFCqow%2BWYWPt9Yug8gUzSmbClCx8k2XrLSvi7O4n%2FOKm4%2FbEWeaDeQjwYxyAFS38F%2FdHENf7lg4Yvfeq7g4gASIBA2WGUuk%3D,竖版视频,7662229482153197577,55.31,"2,070",26.72,65,3.14%,0.85,0,0.00,0.00%,0,0.00,0.00%
嘉丽,0713-引导-嘉丽-8.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnJDhgvDXXkxmQlGjhH9gB%2F4COJnUpvc15%2FAlgoiUc2vjky1RyOuXowsjGimojX5WVUQzRzscgenYvRtaL2evNb0x6779dypElkbfB%2BGHJhsyvp5SMDw2Gd92CeojKjpRQq1RWSdshRBxOqnCjkUnPCSTcUaSwo8AAAAAAAAAAAAAFCqow%2BWYWPt9Yug8gUzSmbClCx8k2XrLSvi7O4n%2FOKm4%2FbEWeaDeQjwYxyAFS38F%2FdHENf7lg4Yvfeq7g4gASIBA2h41zo%3D,横版视频,7662271386505429043,53.90,"1,597",33.75,19,1.19%,2.84,3,17.97,15.79%,0,0.00,0.00%
瑞晨浩正,0713-浩正瑞晨引导-7.mp4.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnLj2wrDs2o2NQY9JafBctSMPK7qTo4ONhLTgOPmgvn0ZGtpJS%2BWhcC9qtfDQOD9xyEZhJBV%2FpS0XClNEflIHe3Bbx3HefKdY9EoRyUBsoVvTfS2OFpRsHenWa5wARta%2BUgId%2B8fG13AzY3VztRrvK7I8CUaSwo8AAAAAAAAAAAAAFCqow%2BWYWPt9Yug8gUzSmbClCx8k2XrLSvi7O4n%2FOKm4%2FbEWeaDeQjwYxyAFS38F%2FdHENf7lg4Yvfeq7g4gASIBA3UURPI%3D,竖版视频,7662229404613869595,51.25,"1,862",27.52,37,1.99%,1.39,3,17.08,8.11%,0,0.00,0.00%
瑞晨浩正,0713-浩正瑞晨引导-8.mp4.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnJNl%2B0TsaAa2SdCeylwUcoJQhhtR%2Fj7L4PlPfrfp98Ji87WOSJDXYX3bV1fVxUXAn4uoW%2FcFiX9veIGgHq%2F8iJsOstuu6gobxfyXsDwAX0Ux2lPkRwpu7F7wAP7AZTXFV4T3MumBBfj4z8xSFkuohYL5xUaSwo8AAAAAAAAAAAAAFCqow%2BWYWPt9Yug8gUzSmbClCx8k2XrLSvi7O4n%2FOKm4%2FbEWeaDeQjwYxyAFS38F%2FdHENf7lg4Yvfeq7g4gASIBA5jhcNw%3D,竖版视频,7662229485093961778,29.02,847,34.26,31,3.66%,0.94,3,9.67,9.68%,0,0.00,0.00%
小敏,713-引导-小敏-1.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnKgKcuoA8EYLPDq8MOy9CPcKuQhVADxWqe8RYIKaxrMyFJm7vw6cZ1H0tNsFeFINPUQ%2Ff16gymG%2BbPhYyiROu3YyQqckDf%2FURwUrKA33uRHSeMSi1Hu7h7uOURlKTZB6rqrWUDLa6wOZUY%2FW0B3GYhjhaQaSwo8AAAAAAAAAAAAAFCqow%2BWYWPt9Yug8gUzSmbClCx8k2XrLSvi7O4n%2FOKm4%2FbEWeaDeQjwYxyAFS38F%2FdHENf7lg4Yvfeq7g4gASIBA10hqn8%3D,竖版视频,7662213071909732378,24.87,892,27.88,34,3.81%,0.73,2,12.44,5.88%,0,0.00,0.00%
嘉丽,0710-引导-嘉丽-4.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnJPJO4m4XoGvWcll3ULNMfi%2BjGuIwetQtF4lpUiYzT80mU0a4X%2FQsyRDIEfNaJKGVSk7IgpcmQd5z2ISls5yvY6VnOlcLkB%2BaFgsaPTKX4urUQ%2BAoNGGTRvybxQbHujuq6JVrfUyMWVTE%2FL7RinDYFlycEaSwo8AAAAAAAAAAAAAFCqow%2BWYWPt9Yug8gUzSmbClCx8k2XrLSvi7O4n%2FOKm4%2FbEWeaDeQjwYxyAFS38F%2FdHENf7lg4Yvfeq7g4gASIBAzU2LRk%3D,竖版视频,7660843611230371903,22.85,705,32.41,19,2.70%,1.20,0,0.00,0.00%,0,0.00,0.00%
小敏,0713-引导-小敏-2.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnIBdyQunlOwDNV3aiD%2B%2BfwfjZPUQ%2BGrWoDN7XVguD6JCf3cTIdDbiq4Z6ptL6zFL4zDkhQkAeZNl3JOD3%2FxGGqWToawvEcNaYPe8kmJ%2B09JuO9FIwL2gCxtoedvogAilGTTHSN36gI5MdepgW3pgQT8nn0aSwo8AAAAAAAAAAAAAFCqow%2BWYWPt9Yug8gUzSmbClCx8k2XrLSvi7O4n%2FOKm4%2FbEWeaDeQjwYxyAFS38F%2FdHENf7lg4Yvfeq7g4gASIBA8042A4%3D,竖版视频,7662222297547685939,18.58,966,19.23,34,3.52%,0.55,1,18.58,2.94%,0,0.00,0.00%
小敏,0713-引导-小敏-4.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnI20K6DopTxyCaoUHrPbSAKS2QKZ7luNqu5K5Q0THviqNZkU7yhISjZyXy5qsBV9Zdax0nLUhB5QRS6ZshGBQ%2FUBxm6dIr4NwfMqZ0G6aoR8JVqqtf1FCw960nB4KkYTSQcZMmUi5MuY0hPFoUMwPKUoWsaSwo8AAAAAAAAAAAAAFCqow%2BWYWPt9Yug8gUzSmbClCx8k2XrLSvi7O4n%2FOKm4%2FbEWeaDeQjwYxyAFS38F%2FdHENf7lg4Yvfeq7g4gASIBAybDKAc%3D,竖版视频,7662213000066678793,17.61,609,28.92,20,3.28%,0.88,1,17.61,5.00%,0,0.00,0.00%
瑞晨浩正,0714-瑞浩引导修改-4.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnLfsmvyDDsOeGPSbNhYTPnGJdTqXX9mfJIfxhT3lGz09cDk2qYb3UYTlo9c%2BvgU8F26TCoZkW5Zlx71h716fJYoSxlhbru%2Briz%2Bezft%2FUmQ3CAtAs6rBGcmAKUgKXxH12zJX8jjTQcqlGU1c%2BtYaBhZ%2BJAaSwo8AAAAAAAAAAAAAFCqow%2BWYWPt9Yug8gUzSmbClCx8k2XrLSvi7O4n%2FOKm4%2FbEWeaDeQjwYxyAFS38F%2FdHENf7lg4Yvfeq7g4gASIBAw3QFc0%3D,竖版视频,7662279491625058342,17.05,642,26.56,24,3.74%,0.71,2,8.53,8.33%,0,0.00,0.00%
嘉丽,0710-引导-嘉丽-5.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnIRbITs8%2BHUeyA%2F4C6WTPWrReyGB%2F1%2Fb9S2%2B3Huoj0nM%2BpNypZ%2BnRPEUPkhcA3UDVttuUtyHhfLGeOWWZHv0sYFtMmZI57S7s%2Bw1EuFC5kh4SUe6%2BWO%2BFyURnAcW2fw7%2Bv1YR%2F5Bw0xi0GY2V%2BaJLE8yFIaSwo8AAAAAAAAAAAAAFCqow%2BWYWPt9Yug8gUzSmbClCx8k2XrLSvi7O4n%2FOKm4%2FbEWeaDeQjwYxyAFS38F%2FdHENf7lg4Yvfeq7g4gASIBA3L9hj0%3D,竖版视频,7660843608887656454,15.00,346,43.35,8,2.31%,1.88,1,15.00,12.50%,0,0.00,0.00%
嘉丽,0713-引导-嘉丽-2.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnLCbCIK%2Bt2qOV82aKIW5v5kZdN5wFy6l27qV1oTv0iqXXXeELhe0D4hw5MuQZOlA%2FNV7YY1xAJp6%2BQQssfm3fndclqhulmWhdaWlINolJpvXSRa5qPeOwlsenEeox6Sw7fLPnPl8n9kAftPM%2BqTxIZl9x0aSwo8AAAAAAAAAAAAAFCqow%2BWYWPt9Yug8gUzSmbClCx8k2XrLSvi7O4n%2FOKm4%2FbEWeaDeQjwYxyAFS38F%2FdHENf7lg4Yvfeq7g4gASIBAwDVf8Q%3D,竖版视频,7662271374480752666,13.91,423,32.88,2,0.47%,6.96,0,0.00,0.00%,0,0.00,0.00%
嘉丽,0713-引导-嘉丽-10.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnKKiGSKPNOQR6IyzmCfcI865rjcLzoRXG1VC4dmipMNIuZJzp9efhB61478pVxPGURIs3T6K%2B9Qv2HTdP4XgEB7RD%2Bk44wSu1rA41%2BLsbEmgCVuQy%2FkZBIrSjk8D8KKNIXIU9E%2FO0rt2tvNOgvXhXXRa4gaSwo8AAAAAAAAAAAAAFCqow%2BWYWPt9Yug8gUzSmbClCx8k2XrLSvi7O4n%2FOKm4%2FbEWeaDeQjwYxyAFS38F%2FdHENf7lg4Yvfeq7g4gASIBA8MBmcw%3D,竖版视频,7662230271501189158,9.11,191,47.70,4,2.09%,2.28,0,0.00,0.00%,0,0.00,0.00%
嘉丽,0713-引导-嘉丽-9.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnIc7Oucp6q5O3LLXOj75jXn8qI%2F4t%2FLF3hzXt9C8UDnUX15cTjLyuK9k%2BFDOUhJPSP822tCdbOLFRD5uI0dRX%2FCFZsipowB%2BwG5l%2BR9xxGONgcXEY1D8Z%2BJFYWSWNPvpxo9wHOzfYSQmWQ435IG3lbeEGgaSwo8AAAAAAAAAAAAAFCqow%2BWYWPt9Yug8gUzSmbClCx8k2XrLSvi7O4n%2FOKm4%2FbEWeaDeQjwYxyAFS38F%2FdHENf7lg4Yvfeq7g4gASIBAxBfe30%3D,竖版视频,7662230322323537929,7.05,252,27.98,4,1.59%,1.76,0,0.00,0.00%,0,0.00,0.00%
嘉丽,0710-引导-嘉丽-1.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnKr9Ie23r%2FMyZPQ3IXbiTzjXeJRYbeL5xjPFIYDF%2BnKsUk%2FIXwAQXNd1ECuChWeDfnFeoNSEU9HV%2FhMMjI7lcdIWU7NSpM04vafle9f2ZIN1Zbpuua6uSlcPZCZxCCEWSDDxezWp85GnXlnFr3xCnHL%2ByYaSwo8AAAAAAAAAAAAAFCqow%2BWYWPt9Yug8gUzSmbClCx8k2XrLSvi7O4n%2FOKm4%2FbEWeaDeQjwYxyAFS38F%2FdHENf7lg4Yvfeq7g4gASIBA%2B6foSI%3D,横版视频,7660843598484979755,6.70,236,28.39,9,3.81%,0.74,0,0.00,0.00%,0,0.00,0.00%
嘉丽,0713-引导-嘉丽-4.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnLWzoTTB0URxoJl0ZPhGclcfbCgEZEmgucYZeLBrHMtYE2pRWTz3ryYaPxuOf2QWWZ1rl%2F7TigKVJpeLWd3F8U0FkZ9V7d0tcOoZV2yOMbcd1N65TTAD7QQqqebXTOXARlo9ktH1ioYaUI%2BfvH83eyScXgaSwo8AAAAAAAAAAAAAFCqow%2BWYWPt9Yug8gUzSmbClCx8k2XrLSvi7O4n%2FOKm4%2FbEWeaDeQjwYxyAFS38F%2FdHENf7lg4Yvfeq7g4gASIBA5bHwrs%3D,横版视频,7662271385642729518,6.63,362,18.31,10,2.76%,0.66,1,6.63,10.00%,0,0.00,0.00%
嘉丽,0710-引导-嘉丽-8.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnJM9iGJoRx1IoYmMjkrOSgbY1I4XxrfV5UGG0Y%2BFMrFNAEsfEJgnFlgI2ekJ7R3eoX8e6WIeccaTBSeeyo9V86c5xkL3UUnmf43PRGkhvOTY7jdPEjAqDSAp1iq%2FUU5LcY%2Fgzdq%2BeMRqfXWwtXi0hLpDRUaSwo8AAAAAAAAAAAAAFCqow%2BWYWPt9Yug8gUzSmbClCx8k2XrLSvi7O4n%2FOKm4%2FbEWeaDeQjwYxyAFS38F%2FdHENf7lg4Yvfeq7g4gASIBAyoum8s%3D,竖版视频,7660843575199334441,6.55,112,58.48,10,8.93%,0.66,0,0.00,0.00%,0,0.00,0.00%
嘉丽,0713-引导-嘉丽-3.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnJcB0W8ySJ%2BiSlpTcQJdkBj%2FkDSHDD8tIuDj7N%2B9N2cdkUHRC7KQhahihmu784PcePgzIHbCA7p7raIJC1qy%2Bq2hAhQ482uua7twkXorjZvKYjsl%2BRdg5c0adyNKmDDWUe0SY4i295Rg62kkzWeSeAOcKcaSwo8AAAAAAAAAAAAAFCqow%2BWYWPt9Yug8gUzSmbClCx8k2XrLSvi7O4n%2FOKm4%2FbEWeaDeQjwYxyAFS38F%2FdHENf7lg4Yvfeq7g4gASIBA7sXo7M%3D,竖版视频,7662230360634556454,6.44,177,36.38,1,0.56%,6.44,0,0.00,0.00%,0,0.00,0.00%
小敏,0710引导-小敏-3.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnIQm4w4jyTwv%2FEtOzjrg2awFoRKVHRv6LlIpwcsQE1ehAS%2B7wRXtJUGcWPwBk1v8J48wXO%2FtqKEqhmi2Sy%2F%2BtUGq1G%2ByF9%2FRvr0KTv2Jvwy7mROI%2B0O%2B%2BJokHWmaOw1DGgwvwSBagFPUMCO9KRAMoQpF6caSwo8AAAAAAAAAAAAAFCqow%2BWYWPt9Yug8gUzSmbClCx8k2XrLSvi7O4n%2FOKm4%2FbEWeaDeQjwYxyAFS38F%2FdHENf7lg4Yvfeq7g4gASIBA4svfaU%3D,竖版视频,7660843528491237382,6.14,216,28.43,11,5.09%,0.56,0,0.00,0.00%,0,0.00,0.00%
瑞晨浩正,0714-瑞浩引导修改-1.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnLA1hcWU6tn7U00NNU1GvSW8CS1dAH7G5pC9XbPekg%2BE0YGCVQYhtbR9JdlRjaNj6AAD0k1YLK5UW%2FRNR8I4W12iN%2FXB3po7VLFJ12vnsbk%2BRt3gJvn1eeSI7%2BJNSGg4AMJhak14WxxpvczBnRw8BGBigYaSwo8AAAAAAAAAAAAAFCqow%2BWYWPt9Yug8gUzSmbClCx8k2XrLSvi7O4n%2FOKm4%2FbEWeaDeQjwYxyAFS38F%2FdHENf7lg4Yvfeq7g4gASIBA2%2F6gxA%3D,竖版视频,7662279484768419878,5.08,368,13.80,12,3.26%,0.42,0,0.00,0.00%,0,0.00,0.00%
