达人,抖音号,所属机构,IP人设定位,差异化背书,IP内容风格,核心选题方向,视觉/表达风格,IP后端转化,商业模式,可借鉴点
木木学长（研）,Zhemuhelper1,哲木教育,浙大严厉考研学长，骂醒摆烂人,浙大研究生，考研规划师,犀利口播，骂醒式考研干货,考研摆烂、拖延、焦虑心态痛点,怼脸口播，语速快犀利，书架背景,私信引流微信，售卖规划课程,考研规划课、付费社群、一对一咨询,犀利人设直击摆烂痛点，口播风格转化高效
高中数学精讲--李,lt1017663126,独立,高中数学应试提分导师,985名校毕业/十年教龄,干货精讲+口诀大招,压轴题不会做、易丢分,黑板板书+快节奏方言,主页引流粉丝群卖课,录播课+直播答疑,学科账号用强提分人设+高频痛点选题快速起号
高中数学杨老师（深度陪跑）,txpeipao,独立,高考数学提分教练陪跑,10年高中一线教学经验,干货拆解痛点短视频,快速提分技巧破解易错题,黑板板书+犀利快语速,私信引导加微信卖陪跑营,付费陪跑社群+录播课,深度陪跑定位增强信任，适合重服务教育IP
小计老师-高中化学,68564936563,独立,幽默提分的硬核化学老师,原衡水中学8年教龄教师,段子口诀快节奏讲透知识点,考试速解技巧与高频易错痛点,出镜白板板书，语速快包袱密,橱窗直播卖课或私信领资料引流,知识付费课程+化学教辅带货,权威背书叠加应试痛点，用段子强化辨识度与粘性
榆高高中数学宁老师,2023gaokaoManfen,独立,专攻高考数学满分的实战派老师,2023年带出高考数学满分学员,黑板精讲，直击提分痛点,攻克高考数学易错失分点和秒杀技巧,手写板书+直面镜头，语言犀利干练,私信领资料→引流微信→转化正价课,高考数学冲刺课程与电子资料包售卖,用满分结果背书，选题精准卡位提分焦虑
高中数学刘阳,dy0yrzaph7vh,独立,专注高中数学提分的一线教师,原重点高中15年教学经验,干货密集，快节奏题型拆解,数学痛点题型速解技巧,黑板手写板书+语速快无废话,私信领资料引流至微信成交,售卖录播课程与提分资料,强痛点选题+海量真题库，快速建立信任感
高中数学-李钰提分课堂,gzsx20230606,独立,高中数学提分实战教师,待核实,大招秒杀，口诀化讲真题,苦学不提分，缺解题技巧,手写板解题，语速快带口诀,直播讲题引流至粉丝群卖课,售卖录播与直播提分课程,题型秒杀降低门槛，高频更新建立信任
高中班主任李老师,68356084343,独立,真实高中班主任，严中带暖的引导者,原省重点高中10年班主任,实景痛点对话，犀利扎心又暖心,手机厌学早恋、亲子冲突、动力不足,教室实拍，东北口音，语重心长,橱窗引流私域，卖学习规划课程,直播带货教辅、知识付费课、广告,真实身份场景建信任，痛点精准，转化路径短
一数儿的课高中,41001162038,独立,北大学霸讲透高中数学提分方法,北京大学数学科学学院毕业,快节奏干货输出，理性犀利,数学思维卡点与考场快速提分,教室白板讲解+语速快逻辑强,主页粉丝群引流私域卖课,高中数学系统课程与提分训练营,名校光环+痛点直击构建强信任转化
刘勋雯政史地提分(不),59943877492,独立,政史地快速提分教练,高考文综实战高分秘籍,干货口诀+痛点暴击,死记硬背还丢分的痛点,黑板板书+急促有力讲解,引流私域售课,卖课+资料+陪跑,垂直学科强痛点打法，打造个人提分专家IP
清华宇情-学习方法,62414274746,独立,清华学霸分享高效学习方法,清华大学在读学生经历,干货讲解+个人故事分享,学生记不住、学不进去的痛点,口播+学习场景，亲切自然,私域引流卖课或学习资料,知识付费课程与学习社群,名校背书增强信任，痛点直击家长焦虑
清华宇情讲学习（渐入嘉境）,94037836839,,,,,,,,,
叁月聚粮,83377844502,独立,30+女性成长型居家健身博主,产后逆袭/职场宝妈时间管理,真实记录+干货口播,宝妈身材焦虑与碎片化塑形,家居实拍+亲切方言感,私域社群+线上训练营,课程分销+品牌合作,素人宝妈人设强共鸣，场景零成本可复制
伴读马老狮,25593998509,独立,亲子伴读导师，教家长读绘本,儿童阅读指导师，10年经验,干货+共情，邻家妈妈口吻,选书难、讲读无趣、孩子不爱读,书房半身出镜，语速温柔舒缓,引流私域，报绘本伴读训练营,伴读课+绘本团购+1对1咨询,垂直细分阅读陪伴，强信任高粘性宝妈变现
奇函侃语文-前沿跨界,28702725352,独立,跨界语文知识分享者,原人大附中语文名师,干货犀利，跨界融合,语文学习枯燥，阅读写作难提分,直面镜头，语速快，干货密集,引流私域售卖语文课程,直播带货书籍及知识付费,跨界融合打破学科壁垒，重塑语文学习价值
老贵本尊,33343238164,独立,待核实,待核实,待核实,待核实,待核实,待核实,待核实,待核实
非少讲理科-扬涵,97797696063,独立,专治物理掉队的暖男学长,中高考物理满分教练,幽默口诀秒解理科难题,理科思维卡壳、考试总丢分,黑板板书+夸张表情+快语速,评论区引导私域领资料,低价课引流转化正价课,用强情绪共鸣+速解口诀降低用户畏难心理
杨奇函讲语文,54798536643,独立,高考语文提分实战派,清华本硕、高考作文满分,犀利毒舌干货密集,作文速成与应试套路,黑板板书+快语速讲解,私域卖课与付费连麦,知识付费与课程销售,名校光环+反焦虑反套路实战提分人设
司马一,SMYaixuexi,独立,北大博士自律学霸，陪伴式学习博主,北大博士，连续早起学习1000+天,沉浸式学习vlog，干货方法分享,克服拖延低效，无法坚持自律,固定机位书桌视角，温柔坚定口吻,直播间引流私域，转化自习室与课程,知识付费课程、文具图书带货、广告,用极致自律背书建立信任，陪伴感带来高粘性转化
清华杨奇函来了,98548013635,独立,清华学霸人间清醒文化博主,清华大学经管学院硕士/奇葩说辩手,犀利拆解热点结合古文金句,反内卷反矫情反伪精英正能量,对镜直拍+快语速密集输出,待核实,知识付费课程及书籍带货,名校背书+辩手口才强化观点输出和辨识度
鱼蛋教育圈,22043127112,独立,敢说真话的一线教师,10年班主任，教育硕士,犀利吐槽+实用干货,教师薪资低、家校矛盾,教室实拍，快语速直言,引流私域，卖教师提升课,知识付费+教育图书带货,教师人设真实共鸣强，戳中行业痛点
AkkkkEN.,Xinkai.C_0418,待核实,待核实,待核实,待核实,待核实,待核实,待核实,待核实,待核实
王垚博士,77140253068,独立,在非洲创业的中国博士富豪,博士学历，深耕非洲十余年,硬核非洲见闻，真实接地气,中非文化反差与创业暴富幻想,非洲实景粗粝感+幽默讲述,引流私域，做非洲贸易咨询,广告分成、直播带货、私域转化,高学历精英×原始非洲的极致反差人设
曾曦老师讲作文,91055872445,独立,作文教育专家，独创八大篇法,全国教育科学十一五规划课题主持人,激情案例教学，直击写作痛点,解决孩子没素材、流水账、不会写,白板前讲解，语速快，生动有力,引流私域，直播转化低价课,售卖作文系统课、书籍,强背书与痛点场景结合，快速建立信任转化
柴风语文（溺罐）,chengfengyuwen,独立,资深语文教师，用独特方法破解阅读理解,重点中学语文教师/高考阅卷经验,犀利幽默，直击答题套路,阅读题总丢分，看不懂出题人意图,黑板板书+快语速干货输出,私域粉丝群引流至付费课程,直播课与录播课销售,口诀化拆解应试技巧，强信任感快速成交
北大张钰蔓,m314358657,独立,北大毕业的学霸成长型学姐,北京大学本科，名校光环,认知提升、学习干货、成长感悟,学业焦虑、高效学习、人生迷茫,待核实,待核实,知识付费、广告合作,名校背书降低信任成本，干货型人设易吸引学生与职场新人
李大海（差点火了版）,YouAskedForIt111,待核实,待核实,待核实,待核实,待核实,待核实,待核实,待核实,待核实
刘彬老师速记单词,53093652679,独立,英语单词速记实战派老师,原新东方名师/单词记忆法创始人,快节奏干货+场景化教学,背单词效率低、记不住痛点,黑板/白板书写+激情讲解,引流私域卖课/训练营,单词速记课程变现,垂直细分记忆法，强人设背书提升转化率
齐腾老师思维训练,32829960154,独立,数学思维训练导师,南开大学毕业，10年教研,黑板讲题，痛点直击,孩子数学不开窍、逻辑差,白板手写，语速快犀利,引导私域，售卖思维课,直播课+录播课变现,名师背书+干货输出，快速建立信任
学霸三人行,80632814937,北京学霸传媒有限公司,清华学霸组合分享高效学习法,清华大学本科，名校学霸背景,情景演绎+快节奏干货输出,破解拖延、记不住等学习痛点,教室场景，幽默快语速对话,引流私域卖课和学霸笔记,知识付费课程、直播带货,多角色增强趣味和信任，便于矩阵化复制
清华奇函老师讲语文,39631854961,独立,清华毕业十年语文名师,清华大学，十年一线语文教学,幽默犀利，模板技巧干货,语文不提分，阅读作文丢分,半身小黑板，语速快幽默,引流直播间卖课，私域跟进,销售提分课程、作文书籍,名校背书降低信任，模板化内容高转化
兔子学姐,dyeuas7398a4,待核实,待核实,待核实,待核实,待核实,待核实,待核实,待核实,待核实
石墨哥物理（不刷题）,56127586468,独立,教物理思维方法，反对盲目刷题,原重点中学物理教师，多年教学经验,讲解清晰，用生活案例讲透物理原理,学生刷题无效、物理思维欠缺,黑板板书+口播，语言亲切有激情,引流私域，售卖思维课和训练营,售卖物理思维课程及陪跑服务,用“不刷题”反焦虑定位精准吸引家长和学生
林老师讲物理,35575295252,独立,用物理思维拆解生活难题的硬核老师,北大物理系毕业、十余年一线教学,硬核拆解、逻辑严密、幽默反转,用物理知识破解常见认知误区,黑板板书+快语速激情讲解,引流私域社群售卖物理思维课,知识付费课程与教辅资料销售,将学科知识降维打击生活痛点，建立专业信任
理学-亮亮聊思维,43664617687,独立,理科思维启蒙导师,北大物理系毕业（待核实）,黑板讲解+生动比喻,孩子理科不开窍、缺方法,亲切老师，语速适中,私域转化课程（待核实）,思维训练课程与教辅,细分理科思维赛道，用专业背书快速建立信任
