拒审建议,拒审类型,拒审详细内容,素材id,视频名称,视频链接,投放情况,审核建议,素材评估,关联在投单元数,标签,消耗,展示数,点击数,点击率(%),平均点击单价(元),平均千次展现费用(元),转化数,转化成本,转化率(%),深度转化次数,深度转化成本,深度转化率(%),,,
,,,"	",,,,,,,,,,,,,,,,,,,,,,
"建议1:您好，广告中涉及暂不接受投放的中危行业或内容等，请修改，谢谢。
建议2:广告中不得使用难以核实/无法核实的人设做推荐证明。 (广告<视频画面、视频字幕>中存在“李博老师 专注物理【90分以下】 北京大学理学学士”，通过展示人物的名校学历和教师身份建立权威感进行营销，未提交有效证明，因此不通过。)",名人名校,李博老师，北京大学理学学士,"	7667137688571707442",0727-新-自产-自产主-李博-曲中雨-浩正-无-1.mp4,https://video-cn.oceanengine.com/9243f8e3be0cd7fb68a2f69a599e71b3/6a6aba5b/tos-cn-ve-51/oktJZQCl1tgAPgpnAwiiQJB0BMAmxAREI5fUm5?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=1482&bt=1482&cs=0&ds=3&ft=J9ThAGkHH_Myq8Zk8KY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZoZjxlOjNlNGczaDY7NTo8QGlqMzh1ajlydGw8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojXy5fM15fLTZhMTY0NS4zMWEjZjZhcDJkYzZnYS0tZDBhc3M%3D&btag=80000200008000&dy_q=1785206607&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260728104326DBF5A33C42D97487D3D7&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
建议1:您好，广告中涉及暂不接受投放的中危行业或内容等，请修改，谢谢。 (违规点：12秒<img src="https://p3-bes-sign.byteimg.com/tos-cn-i-7coyogjcw8/d6f97226a36042ea8cedb3eb0bbead10~tplv-7nkd1s49gv-origin.image?rk3s=60044db5&x-expires=1879753575&x-signature=FB5Si8Mr0y9LHzEF1OsPlRn2imc%3D">),资料图,资料图,"	7667137640823029806",0724-国星引流修改-5c.mp4,https://video-cn.oceanengine.com/920c01357ee28dcd65e3931b009f63f5/6a6aba6d/tos-cn-ve-51/oEwTf5MTQWAnITCzegQakSGIBLkl8beOU1szAS?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=1147&bt=1147&cs=0&ds=3&ft=J9ThAGkHH_Myq8Zk8KY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZlNzhmZWk2ZDo0aTc0OjM0QGlqbng0azlydGw8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojMC8uYDViL14uMV8uLjRgNmEjazZpYzJkYzZnYS0tZDBhc3M%3D&btag=80000200018000&dy_q=1785206607&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260728104326DBF5A33C42D97487D3D7&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"建议1:您好，广告中涉及暂不接受投放的中危行业或内容等，请修改，谢谢。
建议2:广告中不得使用难以核实/无法核实的人设做推荐证明。 (广告<视频画面、视频字幕>中存在“680上岸啦~”“清華大学”，虚构与清华大学相关的经历来建立权威或信任感进行营销，因此不通过。)",名人名校,680上岸、清华,"	7667137574926893083",0724-国星引流修改-9c.mp4,https://video-cn.oceanengine.com/50a2f07cad45d9d9c9aedcd1fb00b9e2/6a6aba59/tos-cn-ve-51/oInTEWCbEMUpzeGnJAqeAzUeI8YRskBQh3ETkK?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=536&bt=536&cs=0&ds=3&ft=J9ThAGkHH_Myq8Zk8KY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY3Z2U8PGhpPGVlM2RmaDo7QGlqcndzajlydGw8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojMDNfXi1hYzYtMWBeM181L2EjNnBxZjJkNDZnYS0tZDAvc3M%3D&btag=80000200008000&dy_q=1785206607&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260728104326DBF5A33C42D97487D3D7&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
建议1:您好，广告中涉及暂不接受投放的中危行业或内容等，请修改，谢谢。 (违规点：9秒<img src="https://p6-bes-sign.byteimg.com/tos-cn-i-7coyogjcw8/b3165ffa91cc4ba49c962d63b21ccd91~tplv-7nkd1s49gv-origin.image?rk3s=60044db5&x-expires=1879754179&x-signature=UqCDl%2BCRYDc0bNwrXZYgiBYhhYM%3D">),引导字幕,电子版可打印,"	7667137530640580618",0724-国星引流修改-7c.mp4,https://video-cn.oceanengine.com/d99fdc851438f1730c10a08ec65e4fbf/6a6aba5a/tos-cn-ve-51/oIYEaMBUSIcEQkWmWgzdj0BtnDtQ6ArjtAIJm?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=915&bt=915&cs=0&ds=3&ft=J9ThAGkHH_Myq8Zk8KY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY6aTo4M2hlZGY8aWg1NTtoQGlqbnQ7ZW86dGw8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojYzRhLzIwLl8tMV42LV8zX2EjZWFuM2FhLzZnYS0tZDAvc3M%3D&btag=80000200008000&dy_q=1785206607&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260728104326DBF5A33C42D97487D3D7&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
建议1:您好，广告中涉及暂不接受投放的中危行业或内容等，请修改，谢谢。 (违规点：8秒<img src="https://p6-bes-sign.byteimg.com/tos-cn-i-7coyogjcw8/58f26faf7c0e4317ab6a0adcbf6590f3~tplv-7nkd1s49gv-origin.image?rk3s=60044db5&x-expires=1879753408&x-signature=9r4jlqb095x4EVKonxh4E6XERM8%3D">),资料图,资料图,"	7667137526823534601",0724-国星引流修改-4c.mp4,https://video-cn.oceanengine.com/c7366825f07b88d4f0a42d5cdbf73573/6a6aba5f/tos-cn-ve-51/oMJ0ktamQIA6WduQZWkyp1jIoznCEAcWag8tE?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=1414&bt=1414&cs=0&ds=3&ft=J9ThAGkHH_Myq8Zk8KY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZoOjg8PDk7ZjdlPGdnZWdmQGkzbDlpO286dGw8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojNjQuL2E2YjZgMTEwLV8uYWEjazQwX2FhLzZnYS0tZDAvc3M%3D&btag=80000200010000&dy_q=1785206607&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260728104326DBF5A33C42D97487D3D7&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
建议1:您好，广告中涉及暂不接受投放的中危行业或内容等，请修改，谢谢。 (违规点：3秒<img src="https://p9-bes-sign.byteimg.com/tos-cn-i-7coyogjcw8/759b27a0a38d4a0fabf08a7d9884ae57~tplv-7nkd1s49gv-origin.image?rk3s=60044db5&x-expires=1879753411&x-signature=rS6AOMzASha2lZyE%2BmX3wiGYjoQ%3D">),资料图,书堆在一起,"	7667137499173240859",0724-国星引流修改-10c.mp4,https://video-cn.oceanengine.com/b0f1e968a3b28100f91cb8671557d223/6a6aba58/tos-cn-ve-51/o41MJZqJEA5wAbEBI0BnSgAzQmtZBhoeAQGaJ7?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=835&bt=835&cs=0&ds=3&ft=J9ThAGkHH_Myq8Zk8KY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY0aWkzNzo1ZTxnaTczODQ5QGkzZHM6Zm86dGw8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojL14uYWMtNV8yMWA2YmMuM2EjbGtkZWFhXjZnYS0tZDAwc3M%3D&btag=80000200008000&dy_q=1785206607&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260728104326DBF5A33C42D97487D3D7&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
建议1:您好，广告中涉及暂不接受投放的中危行业或内容等，请修改，谢谢。 (违规点：8秒<img src="https://p3-bes-sign.byteimg.com/tos-cn-i-7coyogjcw8/ac2754019f554346a7f4e42a5a636ea8~tplv-7nkd1s49gv-origin.image?rk3s=60044db5&x-expires=1879753356&x-signature=NipuuzX2oNMGWJrH0wLxQCK0eEA%3D">),资料图,资料图,"	7667137475559505971",0724-国星引流修改-3c.mp4,https://video-cn.oceanengine.com/1f59a82dabe6976bcacde316ad80d262/6a6aba61/tos-cn-ve-51/oUAF7gAtKQYHLmgQUMBMsJI5Z8S0aIfAm0P1CO?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=1168&bt=1168&cs=0&ds=3&ft=J9ThAGkHH_Myq8Zk8KY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZoZjhlODxnZTtnaTs5aGk7QGkzcDMzNm86dGw8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojNmA2NC0wY18uMTYwMC8uNmEjY141aWFhLzZnYS0tZDBhc3M%3D&btag=80000200010000&dy_q=1785206607&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260728104326DBF5A33C42D97487D3D7&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
建议1:您好，广告中涉及暂不接受投放的中危行业或内容等，请修改，谢谢。 (违规点：12秒<img src="https://p9-bes-sign.byteimg.com/tos-cn-i-7coyogjcw8/55bfaab6c71d4e12a3dc7b99427ce742~tplv-7nkd1s49gv-origin.image?rk3s=60044db5&x-expires=1879753392&x-signature=GVPf2z28nGevsBoToQvL5e6br0U%3D">),资料图,资料图,"	7667137467435696138",0724-国星引流修改-6c.mp4,https://video-cn.oceanengine.com/2d50a58f57101f2c5f50441a621ae15a/6a6aba5c/tos-cn-ve-51/ows7I5TiaP7zNBDuh6kUzAEQn2mKIQcMAJi5n?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=387&bt=387&cs=0&ds=3&ft=J9ThAGkHH_Myq8Zk8KY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZkODdmZDNnNTQ1aTY8NWY1QGlqamgzcDlydGw8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojLi8tLTJhYV4wMV8zXjItM2EjcHBzajJkNDZnYS0tZDBhc3M%3D&btag=80000200008000&dy_q=1785206607&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260728104326DBF5A33C42D97487D3D7&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
建议1:您好，广告中涉及暂不接受投放的中危行业或内容等，请修改，谢谢。 (违规点：2秒<img src="https://p9-bes-sign.byteimg.com/tos-cn-i-7coyogjcw8/2eb1da1271be45ea99942c6c112e5460~tplv-7nkd1s49gv-origin.image?rk3s=60044db5&x-expires=1879754059&x-signature=bv%2FJwSGW%2By4nfeYGVzyAzzwg01U%3D">),效果保证,"录取通知书画面
630成功上岸","	7667137455120597042",0724-国星引流修改-8c.mp4,https://video-cn.oceanengine.com/72c5cf29642fc7fc261eb2cd79eb328e/6a6aba5a/tos-cn-ve-51/oY575JaUIfOBhRMATnnaogxmJ0AtQy5QBlU1E7?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=1281&bt=1281&cs=0&ds=3&ft=J9ThAGkHH_Myq8Zk8KY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZnOWdkPDo8ZTo2NDw2ZmU0QGlqbTh4Om86dGw8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojYDUtMy4vLzYtMTEzLTI1X2EjbGhzY2FhXjZnYS0tZDAwc3M%3D&btag=80000200008000&dy_q=1785206607&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260728104326DBF5A33C42D97487D3D7&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
