达人,抖音号,所属机构,IP人设定位,差异化背书,IP内容风格,核心选题方向,视觉/表达风格,IP后端转化,商业模式,可借鉴点
高中数学刘阳,dy0yrzeph7vh,独立,北大毕业的实战派数学老师,北京大学数学科学学院毕业,口诀化快解，幽默接地气,秒杀技巧，破解压轴题痛点,白板手写，快节奏风趣讲解,引流私域群，转付费系统课,售卖自有体系课与教辅材料,名校光环+口诀化方法，降低畏难心理快速建立信任
高中数学-李钰提分课堂,grsx20230606,独立,高中数学实战提分导师,原省重点中学高级教师,板书讲题，口诀技巧快讲,短平快解题口诀应对考试,露脸手写板书，语速快口语化,评论区引导私域成交课程,售卖录播提分课和电子资料,口诀化教学降低畏难情绪，引流效率高
夏梦迪物理,602799701,独立,清华毕业的幽默物理提分专家,清华大学，原猿辅导名师,段子式讲解，夸张表演,高中物理抽象难点趣味化解题,真人出镜，表情夸张，语速快,引流私域卖课,线上物理系统课程售卖,用强人设和幽默化解学科枯燥，降低认知门槛
黄夫人物理讲义,84482798170,独立,温柔知性物理老师，用讲义讲透题型,原新东方物理名师，高考物理满分,板书式讲义讲解，亲切治愈,物理模型与题型归纳，解决刷题无效,手写讲义纸拍摄，轻声细语慢讲,私域卖讲义资料与录播课程,售卖物理手写讲义与专题录播课,用原创讲义建立信任，从题型归纳切入精准提分
石墨哥物理（不刷题）,56127596468,独立,不刷题教物理的思维导师,十余年重点高中物理教学经验,动画拆解+幽默类比,物理抽象难懂、刷题低效,动态图解+口语化快节奏讲解,引流私域卖方法论课程,短视频引流至知识付费课程,反内卷定位精准击中家长焦虑，可视化降低认知门槛
云南投学林老师物理,24156872010,云南投学教育,物理提分导师，趣味实验教学,10年毕业班经验，物理满分导师,实验演示+口诀，幽默讲解难题,物理抽象难懂，做题没思路,黑板板书+实验道具，幽默干练,私信领资料，引流到课程销售,售卖物理系统课，直播带货教辅,学科IP用实验口诀建立差异，精准引流变现
林老师物理（进援领…,26071358694,独立（待核实）,物理提分实战型老师（待核实）,名校物理专业背景（待核实）,干货痛点+幽默段子（待核实）,考试快速提分技巧（待核实）,黑板板书+快节奏讲解（待核实）,私信领资料引流（待核实）,卖课+学习资料变现（待核实）,痛点直击与幽默讲解结合（待核实）
王羽物理,785741388,独立,高中物理快速提分导师,前重点中学竞赛教练,模型口诀化，解题秒杀演示,物理大题无思路，计算繁琐易错,板书手写+快语速犀利讲解,评论区引导私信领资料转高价课,线上系统课+配套教辅资料销售,强人设背书+题型模板化，可直接复制到理科教学号
北大物理莫荒年,271304488,独立,北大物理系学霸，幽默物理科普人,北京大学物理学院毕业,幽默讲题，生活化物理实验,物理难懂、考试提分、缺乏兴趣,真人出镜，快语速，表情夸张,引流私域卖课，直播带货,物理课程、教辅书籍、直播带货,顶尖名校背书+强反差幽默，破圈传播力强
罗卜高中物理,physics_tt,独立,会讲段子的高中物理提分老师,待核实,动画拆解+幽默讲题，节奏快,物理模型秒懂，考试陷阱避坑,课件动画+真人出镜，语言风趣,私域引流卖课和资料,直播带课+资料销售,用动画可视化降低理解门槛，适合理科知识类账号复制
天津物理王老师,24555038104,独立,天津物理提分专家，方法接地气,天津一线物理教师，多年毕业班经验,选题直击痛点，讲解干脆利落,物理模型不会用、听懂做不对,板书+口播，天津话幽默犀利,主页私信引流到线下或网课,线下班课+网课+教辅带货,地域名师人设+强提分痛点，转化路径短
高中物理核姐（好课晗）,40866953065,独立,高中物理邻家姐姐，提分高手,10年教龄，独创核心母题法,干货秒杀，亲切易懂，节奏快,物理重难点速解与考试提分,平板手写演示，语速轻快幽默,引流私信领资料，转粉丝群卖课,售卖系统课、直播课及教辅资料,打造亲切专家人设+方法品牌化，提分案例驱动高效转化
欢哥讲化学,20870768727,独立,清华化学学霸，趣味科普化学知识,清华大学化学系本硕博连读,用生活案例拆解硬核化学原理,破除化学枯燥难懂的刻板认知,课堂白板讲解+幽默犀利口语,主页引流私域卖化学课程,知识付费课程+图书带货,高学历人设降维做趣味科普，反差感强易涨粉
张梅酷好化学,vx.zmgkh06,独立,会教化学的硬核提分老师,重点高中化学教师/教研组长,干货密集，直击考点，节奏快,化学方程式记不住、计算题总丢分,黑板板书+犀利讲解，待核实,主页挂微信引流到私域卖课,卖录播课、直播课、教辅资料,专业背书+痛点直给，适合学科类老师快速起号
小计老师-高中化学,68564996563,独立,主讲高中化学的干货型老师,名校化学专业毕业,口诀化快讲+黑板板书,考试易错点与高频考点速记,近景手写板书+语速快有激情,私域引导报课或资料包,卖课与付费资料变现,强干货+快节奏讲解适合抢占应试教育心智
赵老师讲化学,qkhxwg,独立,幽默亲和的化学提分老师,十余年一线教学，毕业班经验,段子拆解考点，口诀秒杀,高中化学易混淆点与抢分技巧,黑板板书+表情包，方言化讲解,私域卖课+学习资料,录播课与教辅资料变现,用脱口秀式讲解把枯燥知识变成强记忆点
柱哥陪你学化学,36446462427,独立,幽默化学老师，陪学攻克难点,一线教学经验，学科带头人,段子化拆解，干货密集输出,化学难懂概念，考试易错题,黑板板书+激情快语速，待核实,私域售课或资料引流，待核实,化学课程与教辅带货,用强人设和趣味反转让理科学习“上瘾”
李林生物,AnderLi,独立,高中生物提分专家，幽默干货王,名校生物专业，多年一线教学,用段子硬核拆解生物易错点,考试易错坑、速记口诀、高频考点,真人出镜快语速，幽默犀利带梗,引流私域售课与教辅书籍,卖课卖书为主，广告或带货,严选学生痛点，用趣味梗做强提分人设，转化链路清晰
李林生物,82532099967,独立,人大附中生物名师，高考提分专家,中国人民大学硕士，原人大附中教师,干货口诀化，痛点精准打击,攻克遗传计算、实验设计等高频失分点,黑板板书+快语速犀利讲解,私域卖课，引流至微信/付费社群,卖录播课、直播课与教辅资料,名校背书+口诀化干货，打造强信任高转化名师IP
奇函侃语文-前沿洞界,26702725352,独立,清华学霸用跨界视野讲大语文,清华本硕、奇葩说辩手、作协会员,幽默犀利，拆解文化热点与典故,家长焦虑孩子语文素养与高分难兼得,快语速怼脸拍，段子式深度表达,引流私域售家长课和书籍,卖课、带货书籍、品牌广告,高知反差人设把枯燥学科讲成爆款话题
杨奇函讲语文,54799536643,独立,清华学霸辣评式语文提分导师,清华大学本硕、奇葩说辩手,犀利拆解考点，情绪输出强,家长焦虑与孩子语文低效提分难,快语速怼脸口播+大字报封面,引流私域售卖语文提分课程,卖课+付费咨询,名校辩手人设降维打击，用争议观点引爆精准流量
乘风语文（湖哪）,Chengfengyuwen,独立,北大学长讲透语文应试套路,北大中文系毕业，带出高考满分,硬核干货加犀利吐槽节奏快,阅读模板、作文套句等快速提分痛点,半身出镜+题板划重点，语速快犀利,直播引流至私域售课和教辅,线上系统课、教辅资料销售,强应试人设加高频输出可复制模板，提分信服力强
清华奇函老师讲语文,99631854961,独立,清华学霸趣味语文分享者,清华大学本硕，奇葩说辩手,幽默犀利，文史杂谈,应试提分与文化储备双重焦虑,黑板口播，快语速高密度输出,引导私域或橱窗购买课程书籍,知识付费课程与电商带货,用综艺感打破知识类IP的严肃刻板印象
杨奇函清华说语文,77390293657,独立,清华学霸讲语文的毒舌才子,清华大学本硕、中国诗词大会选手,犀利点评、文化解构与反差,用文化视角拆解社会热点痛点,口播+犀利眼神，冷幽默锐评,待核实,知识付费与广告植入,学霸人设+犀利风格，适合知识类IP差异化突围
学过石油的语文老师,54212554005,独立,石油工程师转型语文老师,中国石油大学毕业，前石油工程师,理科思维幽默拆解语文知识,破解语文学习枯燥难懂痛点,黑板前快语速带梗讲题,引流私域卖课，直播带货,直播卖课，知识付费变现,跨界经历打造强记忆点，降维破解学科痛点
杨奇函说语文-凡七文化,46246023283,凡七文化,清华学霸教你实用语文提分,清华大学本科、硕士,犀利务实拆解应试技巧,中高考语文高分速成痛点,快语速直面镜头+强逻辑输出,引流私域卖课和教辅资料,知识付费课程与图书分销,学霸背书直击提分焦虑，内容强干货易转化
语文老师李妍,40129413160,独立,古风北大才女，教孩子爱上语文,北大中文系硕士，原新东方名师,诗意古风，趣味解读诗词名著,语文提分难，诗词枯燥，孩子没兴趣,穿旗袍汉服，画面唯美，娓娓道来,引流私域，卖语文系统课,知识付费课程与书籍带货,用文化气质做差异化，建立高信任人设
陈朝辉大语文讲堂,71826409371,独立,北大才子激情讲授大语文,北大中文系硕士，原学而思语文负责人,慷慨激昂演绎古诗词与文史,攻克古诗文丢分，提升文学素养,中式着装书架背景，慷慨陈词,私信送资料引流微信卖课,线上大语文系统课与书籍带货,北大背书+激情讲解，构建高信赖IP促进转化
语文有点Q,57977427103,洋葱学园,Q版动画讲解语文的幽默小老师,洋葱学园教研团队，6000万用户,动画微课，搞笑段子，通俗易懂,易错字词、古诗文背诵、成语辨析,Q版古风动画，魔性配音网络热梗,主页引流下载洋葱学园APP领课,低价体验课转正价课变现,动画IP降低认知成本，痛点选题精准吸粉
清华杨奇函数语文,30676015985,独立,清华学霸用函数思维教语文,清华大学毕业、高考语文高分,公式化解题，干货密集输出,阅读满分公式、作文速成模板,教室黑板手写，逻辑拆解语气,评论区引导私信领资料包,低价体验课转高价系统班,名校光环+方法论降维，精准击中提分焦虑
高考英语私教,52432685518,独立,高考英语快速提分实战教练,待核实,干货密集，直击考点，无废话,单词记不住、阅读读不懂、完形填空总丢分,待核实,待核实,待核实,待核实
豆神英语·剑桥小王者,heranyingyu,豆神教育,剑桥英语考级规划师,剑桥官方认证考官,干货拆解+亲子互动感,破除KET/PET抢分焦虑,教室场景，亲和力快语速,引流私域，卖课卖教材,课程、教辅、会员订阅,垂直考级赛道，用考官身份建立高信任壁垒
曹志巧学英语,60430935048,独立,专攻巧记单词的英语教练,清华大学学霸、巧记单词法,快速口诀化拆解单词,单词记不住、背了忘,黑板板书+快节奏口诀,引流至私域或课程群,售卖单词记忆课程/训练营,强化学霸标签+痛点口诀化，适合知识付费起号
叽里呱啦英语启蒙,jiliguala168,上海叽里呱啦教育科技有限公司,鹦鹉IP+真人老师，趣味双语带娃,哈佛剑桥团队研发，5000万家庭信赖,趣味动画+戏精表演，高频口语重复,零基础抗拒英语？生活场景轻松开口,明亮卡通风，戏精表情，魔性洗脑循环,引导私信领体验课，下载App系统转化,分级AI英语课、会员订阅、教具盒子,IP+生活情景剧洗脑，降低信任门槛，高转化
郑州英语Coco,36506533431,独立,成人实用口语与发音教练,英语专八/10年一线教学,场景化纠音，轻松接地气,中式发音纠正、地道开口难,近景口播+板书演示，亲切鼓励,私域引流连麦纠音课,低价音标课转高价训练营,垂直深耕发音痛点，强人设信任快速转化
猫耳朵英语CLUB,cat_ear,独立,爱演单词的猫耳朵老师,TESOL认证10年教龄,一人分饰多角单词剧场,单词记忆枯燥难坚持,猫耳朵头饰+丰富表情口语化,直播/私信引流私域卖课,知识付费+带货单词教具,独特形象锚点与内容深度绑定，增强辨识度
暖暖读英语,Nuan910ma,独立,母女共读英语绘本的启蒙导师,待核实,亲子互动纠音，场景化教学,家长英语差如何启蒙孩子,家庭实拍，温和鼓励语气,待核实,英语启蒙课程与绘本带货,亲子出镜真实可信，有效降低教育焦虑
白老师英语阅读,73339908666,独立,原新东方名师，专注英语阅读提分,原新东方优秀教师，14年英语教学经验,高效干货，直击阅读失分核心,孩子阅读丢分多、读不懂、做题慢,真人出镜+白板录屏，干脆利落讲方法,私信领资料，引流至阅读训练营,付费阅读训练营及系统录播课,垂直细分阅读赛道，强人设背书，精准转化家长焦虑
学丞晓艳英语图书旗舰,55505163362,学丞图书旗舰店,懂教学、会选书的英语老师,英语专八，多年一线教学,干货输出+教辅对比测评,家长选书难，孩子不爱学,书架前讲解，温暖亲切（待核实）,主页橱窗+直播挂车导购,短视频与直播带货英语图书,专业人设立体信任，直接转化高客单教辅
英语老师张得分,83097884608,独立,只讲考试提分技巧的实战英语老师,前新东方名师/考研英语主讲,犀利干货+段子手式吐槽,单词速记、长难句、阅读提分技巧,教室白板讲课+快节奏金句输出,评论区引导私域领资料转化课程,售卖考研英语系统课和训练营,提分人设精准，用情绪钩子提升完播率
学丞刘晓艳-初中英语,50910612781,河北学丞教育科技有限公司,考研名师降维教初中英语,原新东方考研英语名师,激情励志，干货带段子,单词背了就忘，语法听不懂,课堂场景，大嗓门夸张演绎,直播间引导私域或购课,短视频引流卖课，直播带货,名师IP跨学段复用，强情绪输出提转化
学丞刘晓艳-小学英语,89694837506,学丞教育,小学英语名师，亲和力提分专家,多年一线教学与教研经验,干货讲解+励志互动，温暖接地气,单词速记、语法难点、家长焦虑,黑板板书+真人出镜，语速快有激情,私信加微信领资料，引导课程咨询,低价课引流，正价系统课变现,学科名师IP矩阵化运营，强信任感转化路径
LingoAce英语口语提,80855549742,LingoAce,专业北美外教口语陪练,TEFL/TESOL认证资深外教,情景对话+干货技巧,解决“哑巴英语”不敢开口,双人分屏对话，亲切鼓励型,主页简介导流领免费试听课,低价体验课转正价课包,外教真人出镜强化真实感，场景化痛点直击
英语段老师,renrenshuo666,独立,实战派英语导师，教成人开口说,前新东方名师，10年教学经验,场景化教学，直击口语痛点,成人英语张不开口的尴尬场景,真人出镜+情景演绎，犀利幽默,引流私域，卖课训练营,低价课引流，高价训练营转化,痛点场景化演绎，强共鸣引发冲动消费
肖数说,xiaoym1024,独立,用数据说话的商业分析博主,前互联网大厂数据分析师,数据可视化拆解商业案例,用数据揭秘行业暴利与陷阱,图表动画+快语速理性解说,引流私域卖数据分析课程,知识付费+商业咨询,数据化表达增强可信度，适合知识类账号复制
卷卷学姐,55434336194,独立,自律逆袭学霸学姐,二本逆袭985硕士,沉浸学习vlog+干货,拖延症、效率低、心态差,温馨书桌，温柔坚定,引流私域学习社群,课程+文具带货,逆袭人设真实可信，陪伴式成长共鸣强
小单学长,92840645695,独立,清华学长分享高效学习法,清华大学本硕连读,自律日常+学习干货口播,拖延症、学习效率低、迷茫,书桌实拍，严肃真诚语气,引流微信卖学习规划课,卖课+付费社群,强名校背书+痛点密集，适合知识付费
小蓝颖Yancy,1807071340,独立,女性商业思维成长导师,福布斯U30/连续创业者,职场精英口播干货,女性赚钱思维与独立,西装形象，犀利直接,引流私域卖课,知识付费与社群,精准切中女性独立痛点，人设强
高阶物理~张哲,zhangzhewuli,独立,擅长物理提分的学霸老师,北大物理系毕业名师,干货密集+快节奏解题,物理模型秒杀与提分痛点,黑板板书+犀利直接口播,私域卖课或学习资料引流,售卖物理提分课程,名校背书+高频模型解法直击提分焦虑，路径清晰
祝小诺,zhu1nuo_,独立,职场认知提升导师,北大硕士、前腾讯产品经理,犀利口播，直击认知真相,职场阶层固化与认知差痛点,近景口播，语速快，金句密集,引流私域转化高价课程,认知提升训练营等知识付费,高知背书+痛点选题，高效建立信任变现
从前有座石榴园,65489281418,独立,会讲历史的石榴卡通,待核实,动画演绎趣味历史,古人生活冷知识,卡通动画+轻松吐槽,待核实,广告与书籍带货,虚拟IP降低人设维护成本，内容趣味性强易传播
郑在磕数理竞赛,72320153004,,,,,,,,,
北大白杨老师,kaiqiao2026,独立,北大毕业的智慧教育型妈妈,北大本硕，15年教育经验,娓娓道来，温暖理性拆解教育难题,家长焦虑、亲子沟通、学习内驱力不足,近景口播，温柔坚定，金句高频,私域引流至家庭教育课程与咨询,线上课程、训练营、一对一咨询,高学历背书+实战育儿场景，信任感强转化路径短
小马爱讲地理,97682754754,独立,幽默风趣的地理知识科普博主,地理竞赛金牌得主，名校背景,硬核地理软化讲，段子式输出,破解冷门地理谜题，满足好奇心,口播+地图动画，语速快带梗,橱窗带货地理科普书,图书带货+知识付费课程,用高密度趣味冷知识拉满完播率，自然嫁接书籍转化
张三三-,avazhangsansan,独立,反恋爱脑人性洞察导师,十年创业经历洞悉人性,清醒毒舌独白讲真相,反恋爱脑女性自我保护,黑色造型冷脸犀利直述,引流微信转化课程社群,知识付费社群及咨询,强人设痛点切入，单点极致输出
